co_so_ma,total_orders
HC_BD_GS1_DONG_HOA_DI_AN_646,126
HC_KHONG__APEC_MANDALA_HAI_D_656,41
HC_KHONG__891_KHA_VAN_CAN_473,45
HC_HN_MACHINCO_300,50
HC_HCM_HOA_HONG_320,31
HC_BD_05_LY_THUONG_KIET_261,110
HC_HN_KCN_NOI_BAI_HA_NOI_1378,30
HC_HN_BIG_C_HA_NOI_78,55
HC_NGHE_VINH_AIRPORT_2_1_I_803,37
HC_KH_VINCOM_NHA_TRANG_22,57
HC_NGHE_VINH_CENTRE_348,46
HC_HN_S4_03_VH_SMART_CIT_825,50
HC_HCM_270C_BACH_DANG_HCM_554,68
HC_HCM_506_TRUONG_CHINH_276,33
HC_HN_NGOAI_GIAO_OAN_HN_723,70
HC_HCM_MAXI_CONG_HOA_197,56
HC_KHONG__HUU_NGHI_HOTEL_QB_1159,69
HC_CT_MUONG_THANH_CAN_TH_1208,104
HC_KHONG__IEN_BIEN_PHU_BA_RI_652,46
HC_BD_LE_TRONG_TAN_BD_1171,125
HC_KHONG__170_INH_BO_LINH_540,43
HC_KHONG__MISA_TOWER_DA_NANG_845,68
HC_HCM_134_TA_UYEN_230,57
HC_HCM_TTC_UNG_VAN_KHIEM_274,57
HC_KHONG__SUN_CAT_BA_HP_912,40
HC_DN_DBP_14,49
HC_KHONG__NGUYEN_XI_318,54
HC_HCM_BOTANICA_203,36
HC_KHONG__CHUNG_CU_PHU_MY_HC_1335,46
HC_HN_ESSENSIA_AN_KHANH_494,68
HC_HN_DAI_HOC_FPT_HN_367,32
HC_HCM_KIOSK_VJET_G24_TAN_785,37
HC_KHONG__THANH_AT_HA_NAM_534,39
HC_DNAI_HUNG_VUONG_LONG_KH_640,84
